reaction,lb,ub
EX_taur__e,0,1000
EX_maltpt__e,0,1000
EX_glyald__e,0,1000
EX_glcur__e,0,1000
ADPRDP,0,1000
DKGLCNR1,0,1000
NADTRHD,0,1000
AACPS2,0,1000
FMNRx2,0,1000
ACPS1,0,1000
EX_nmn__e,0,1000
EX_urea__e,0,1000
ARAI_f,0,1000
ARAI_r,0,1000
M1PD_f,0,1000
M1PD_r,0,1000
G3PD2_f,0,1000
G3PD2_r,0,1000
GALS3,0,1000
FCI_f,0,1000
FCI_r,0,1000
FCLK,0,1000
FCLPA_f,0,1000
FCLPA_r,0,1000
GMPS2,0,1000
AMPN,0,1000
GSNK,0,1000
ACCOAL,0,1000
GALUi,0,1000
AACPS3,0,1000
U23GAAT,0,1000
EX_f6p__e,0,1000
UAAGDS,0,1000
AACPS4,0,1000
UAMAS,0,1000
UAMAGS,0,1000
UGLYCH,0,1000
NTPP3,0,1000
NTPP6,0,1000
NTPP7,0,1000
OP4ENH,0,1000
EX_rmn__e,0,1000
HOPNTAL,0,1000
NTPP8,0,1000
P5CR,0,1000
CYANST,0,1000
EX_ttdca__e,0,1000
DHPPDA2,0,1000
3HPPPNH,0,1000
G5SADs,0,1000
GMAND,0,1000
PPCSCT,0,1000
CYTD,0,1000
AKGDH,0,1000
HPYRRx,0,1000
GLYCDx,0,1000
ASP1DC,0,1000
UGMDDS,0,1000
DCYTD,0,1000
DBTS,0,1000
DCTPD,0,1000
UHGADA,0,1000
AMANK,0,1000
UAGAAT_f,0,1000
UAGAAT_r,0,1000
ATPPRT,0,1000
HISTD,0,1000
DHDPS,0,1000
G1PACT,0,1000
GART,0,1000
CSND,0,1000
GF6PTA,0,1000
IGPDH,0,1000
EX_glyclt__e,0,1000
PRPPS_f,0,1000
PRPPS_r,0,1000
H2SO,0,1000
GLUCYS,0,1000
PRATPP,0,1000
GLUN,0,1000
PRMICI_f,0,1000
PRMICI_r,0,1000
GLUPRT,0,1000
EX_g6p__e,0,1000
GMPR,0,1000
SERAT_f,0,1000
SERAT_r,0,1000
CYSS,0,1000
NADS1,0,1000
BPNT,0,1000
EX_2ddglcn__e,0,1000
PAPSR,0,1000
ASPK_f,0,1000
ASPK_r,0,1000
ASAD_f,0,1000
ASAD_r,0,1000
DAPDC,0,1000
EX_mmet__e,0,1000
NTRIR2x,0,1000
OCBT_f,0,1000
OCBT_r,0,1000
GARFT_f,0,1000
GARFT_r,0,1000
GPDDA1,0,1000
GPDDA2,0,1000
PHETA1_f,0,1000
PHETA1_r,0,1000
PPND,0,1000
METAT,0,1000
ASCBPL,0,1000
ACBIPGT,0,1000
TRPS1,0,1000
PRAMPC,0,1000
ADOCBLS,0,1000
EX_galct____D__e,0,1000
ADOCBIK,0,1000
TMPK,0,1000
HPPPNDO,0,1000
MCITL2_f,0,1000
MCITL2_r,0,1000
DXYLK,0,1000
MDH3,0,1000
SOTA,0,1000
DHCINDO,0,1000
SGSAD,0,1000
HKNDDH,0,1000
EX_idon____L__e,0,1000
HKNTDH,0,1000
GLYCK2,0,1000
PTA2,0,1000
MDH2,0,1000
EX_indole__e,0,1000
ACOTA_f,0,1000
ACOTA_r,0,1000
GPDDA5,0,1000
PDX5PS,0,1000
PPBNGS,0,1000
ENTCS,0,1000
SULR,0,1000
MANPGH,0,1000
URDGLYCD,0,1000
CBMKr_f,0,1000
CBMKr_r,0,1000
PPNCL2,0,1000
PRAGSr_f,0,1000
PRAGSr_r,0,1000
PRFGS,0,1000
AMANAPEr_f,0,1000
AMANAPEr_r,0,1000
EX_3hcinnm__e,0,1000
ACM6PH,0,1000
NNATr_f,0,1000
NNATr_r,0,1000
CYTDH,0,1000
EX_acac__e,0,1000
ETHAAL,0,1000
MAN1PT2,0,1000
PSERT,0,1000
AP4AH,0,1000
EX_acmana__e,0,1000
AP5AH,0,1000
ADNCYC,0,1000
AIRC2,0,1000
GAPD_f,0,1000
