reaction,FBAmodel,background_conc,system_volume
EX_pppn__e_f,iML1515,1000,1
EX_acgam1p__e_f,iML1515,1000,1
EX_galt__e_f,iML1515,1000,1
EX_glcur1p__e_f,iML1515,1000,1
EX_thrp__e_f,iML1515,1000,1
EX_fald__e_f,iML1515,1000,1
EX_pydxn__e_f,iML1515,1000,1
EX_acgal__e_f,iML1515,1000,1
EX_so2__e_f,iML1515,1000,1
EX_dms__e_f,iML1515,1000,1
EX_acgal1p__e_f,iML1515,1000,1
EX_cyan__e_f,iML1515,1000,1
EX_tyrp__e_f,iML1515,1000,1
EX_uacgam__e_f,iML1515,1000,1
EX_udpacgal__e_f,iML1515,1000,1
EX_udpg__e_f,iML1515,1000,1
EX_udpgal__e_f,iML1515,1000,1
EX_udpglcur__e_f,iML1515,1000,1
EX_14glucan__e_f,iML1515,1000,1
EX_pser____L__e_f,iML1515,1000,1
EX_xmp__e_f,iML1515,1000,1
EX_damp__e_f,iML1515,1000,1
EX_dimp__e_f,iML1515,1000,1
EX_isetac__e_f,iML1515,1000,1
EX_aso3__e_f,iML1515,1000,1
EX_tcynt__e_f,iML1515,1000,1
EX_fe3dhbzs__e_f,iML1515,1000,1
EX_feoxam__un__e_f,iML1515,1000,1
EX_g3pc__e_f,iML1515,1000,1
EX_g3pg__e_f,iML1515,1000,1
EX_g3pi__e_f,iML1515,1000,1
EX_g3ps__e_f,iML1515,1000,1
EX_peamn__e_f,iML1515,1000,1
EX_34dhpac__e_f,iML1515,1000,1
EX_cys____L__e_f,iML1515,1000,1
EX_gsn__e_f,iML1515,1000,1
EX_orot__e_f,iML1515,1000,1
EX_manglyc__e_f,iML1515,1000,1
EX_metsox__R____L__e_f,iML1515,1000,1
EX_cl__e_f,iML1515,1000,1
EX_cl__e_r,iML1515,1000,1
EX_dgmp__e_f,iML1515,1000,1
EX_4hoxpacd__e_f,iML1515,1000,1
EX_3hpppn__e_f,iML1515,1000,1
EX_man6p__e_f,iML1515,1000,1
