"abbreviation","type","subtype","lowbnd","uppbnd"
"CZP_NR","core","internal",-1000,1000
"Cuabc","core","internal",0,1000
"Cut1","core","internal",0,1000
"DADA","core","internal",0,1000
"DADNt2r","core","internal",-1000,1000
"DAGK120","core","internal",0,1000
"DAGK140","core","internal",0,1000
"DAGK141","core","internal",0,1000
"DAGK160","core","internal",0,1000
"DAGK161","core","internal",0,1000
"DAGK180","core","internal",0,1000
"DAGK181","core","internal",0,1000
"DALAt2r","core","internal",-1000,1000
"DAPDAi","core","internal",0,1000
"DAPDC","core","internal",0,1000
"DAPE","core","internal",-1000,1000
"DAPMDH","core","internal",-1000,1000
"DASYN120","core","internal",0,1000
"DASYN140","core","internal",0,1000
"DASYN141","core","internal",0,1000
"DASYN160","core","internal",0,1000
"DASYN161","core","internal",0,1000
"DASYN180","core","internal",0,1000
"DASYN181","core","internal",0,1000
"DASYNAI15","core","internal",0,1000
"DASYNAI17","core","internal",0,1000
"DASYNI14","core","internal",0,1000
"DASYNI15","core","internal",0,1000
"DASYNI16","core","internal",0,1000
"DASYNI17","core","internal",0,1000
"DB4PS","core","internal",0,1000
"DBTS","core","internal",0,1000
"DCMPDAi","core","internal",0,1000
"DCTPD","core","internal",0,1000
"DCTPD2","core","internal",0,1000
"DCYTD","core","internal",0,1000
"DCYTt2r","core","internal",-1000,1000
"DDGLK","core","internal",0,1000
"DDPA","core","internal",0,1000
"DDPGA","core","internal",-1000,1000
"DEXTRINASE","core","internal",0,1000
"DEXTRINabc","core","internal",0,1000
"DFDCYTDD","core","internal",0,1000
"DFDCYTDabc","core","internal",0,1000
"DFDURIte","core","internal",0,1000
"DGK1","core","internal",-1000,1000
"DGSNt2","core","internal",0,1000
"DH5FURAt","core","internal",-1000,1000
"DHAD1","core","internal",0,1000
"DHAD2","core","internal",0,1000
"DHAK","core","internal",0,1000
"DHAPT","core","internal",0,1000
"DHDPRyr","core","internal",-1000,1000
"DHDPS","core","internal",0,1000
"DHFOR2","core","internal",-1000,1000
"DHFR","core","internal",-1000,1000
"DHFS","core","internal",0,1000
"DHNAOT","core","internal",0,1000
"DHNPA","core","internal",0,1000
"DHORD2","core","internal",0,1000
"DHORD5","core","internal",0,1000
"DHORDfum","core","internal",0,1000
"DHORDi","core","internal",0,1000
"DHORDnad","core","internal",0,1000
"DHORTS","core","internal",-1000,1000
"DHPM1","core","internal",0,1000
"DHPM2","core","internal",0,1000
"DHPPDA","core","internal",0,1000
"DHPPDA2","core","internal",0,1000
"DHPS","core","internal",0,1000
"DHQS","core","internal",0,1000
"DHQTi","core","internal",0,1000
"DINSt2","core","internal",0,1000
"DMATT","core","internal",0,1000
"DMPPS","core","internal",0,1000
"DMPPS2r","core","internal",-1000,1000
"DMQMT","core","internal",0,1000
"DM_2HYMEPH","boundary","demand",0,1000
"DM_2obut_c","boundary","demand",0,1000
"DM_4HBA","boundary","demand",0,1000
"DM_5DRIB","boundary","demand",0,1000
"DM_5MTR","boundary","demand",0,1000
"DM_AMOB","boundary","demand",0,1000
"DM_GCALD","boundary","demand",0,1000
"DM_HQN","boundary","demand",0,1000
"DM_NA1","boundary","demand",0,1000
"DM_atp_c","boundary","demand",0,1000
"DM_btn","boundary","demand",0,1000
"DM_clpn140_c","boundary","demand",0,1000
"DM_clpn160_c","boundary","demand",0,1000
"DM_clpn180_c","boundary","demand",0,1000
"DM_clpnai15_c","boundary","demand",0,1000
"DM_clpnai17_c","boundary","demand",0,1000
"DM_clpni15_c","boundary","demand",0,1000
"DM_clpni16_c","boundary","demand",0,1000
"DM_clpni17_c","boundary","demand",0,1000
"DM_dad_5","boundary","demand",0,1000
"DM_dhptd_c","boundary","demand",-1000,1000
"DM_teich_45_BS_c","boundary","demand",0,1000
"DM_this_c","boundary","demand",0,1000
"DNMPPA","core","internal",0,1000
"DNTPPA","core","internal",0,1000
"DPCOAK","core","internal",0,1000
"DPR","core","internal",0,1000
"DRBK","core","internal",0,1000
"DRIBabc","core","internal",0,1000
"DRPAr","core","internal",-1000,1000
"DTMPK","core","internal",0,1000
"DURAD2","core","internal",-1000,1000
"DURADi","core","internal",0,1000
"DURIK1","core","internal",0,1000
"DURIPP","core","internal",-1000,1000
"DURIt2","core","internal",0,1000
"DUTPDP","core","internal",0,1000
"DXPRIr","core","internal",-1000,1000
"DXPS","core","internal",0,1000
"DXYTST","core","internal",-1000,1000
"D_LACD","core","internal",0,1000
"D_LACt2","core","internal",-1000,1000
"E4PD","core","internal",-1000,1000
"EAR100x","core","internal",0,1000
"EAR10M12x","core","internal",0,1000
"EAR11M12x","core","internal",0,1000
"EAR120x","core","internal",0,1000
"EAR12M14x","core","internal",0,1000
"EAR13M14x","core","internal",0,1000
"EAR140x","core","internal",0,1000
"EAR14M16x","core","internal",0,1000
"EAR15M16x","core","internal",0,1000
"EAR160x","core","internal",0,1000
"EAR180x","core","internal",0,1000
"EAR40x","core","internal",0,1000
"EAR4M6x","core","internal",0,1000
"EAR5M6x","core","internal",0,1000
"EAR60x","core","internal",0,1000
"EAR6M8x","core","internal",0,1000
"EAR7M8x","core","internal",0,1000
"EAR80x","core","internal",0,1000
"EAR8M10x","core","internal",0,1000
"EAR9M10x","core","internal",0,1000
"ECOAH1","core","internal",-1000,1000
"ECOAH1R","core","internal",-1000,1000
"EDA_R","core","internal",-1000,1000
"EHGLAT","core","internal",0,1000
"ENO","core","internal",-1000,1000
