"abbreviation","type","subtype","lowbnd","uppbnd"
"AGALASE_OGLYCAN18e","core","internal",0,1000
"AGALASE_OGLYCAN19e","core","internal",0,1000
"AGALASE_OGLYCAN1e","core","internal",0,1000
"AGALASE_OGLYCAN20e","core","internal",0,1000
"AGALASE_OGLYCAN21e","core","internal",0,1000
"AGALASE_OGLYCAN22e","core","internal",0,1000
"AGALASE_OGLYCAN23e","core","internal",0,1000
"AGALASE_OGLYCAN24e","core","internal",0,1000
"AGALASE_OGLYCAN25e","core","internal",0,1000
"AGALASE_OGLYCAN26e","core","internal",0,1000
"AGALASE_OGLYCAN27e","core","internal",0,1000
"AGALASE_OGLYCAN28e","core","internal",0,1000
"AGALASE_OGLYCAN29e","core","internal",0,1000
"AGALASE_OGLYCAN2e","core","internal",0,1000
"AGALASE_OGLYCAN30e","core","internal",0,1000
"AGALASE_OGLYCAN31e","core","internal",0,1000
"AGALASE_OGLYCAN32e","core","internal",0,1000
"AGALASE_OGLYCAN33e","core","internal",0,1000
"AGALASE_OGLYCAN34e","core","internal",0,1000
"AGALASE_OGLYCAN35e","core","internal",0,1000
"AGALASE_OGLYCAN36e","core","internal",0,1000
"AGALASE_OGLYCAN37e","core","internal",0,1000
"AGALASE_OGLYCAN38e","core","internal",0,1000
"AGALASE_OGLYCAN39e","core","internal",0,1000
"AGALASE_OGLYCAN3e","core","internal",0,1000
"AGALASE_OGLYCAN40e","core","internal",0,1000
"AGALASE_OGLYCAN41e","core","internal",0,1000
"AGALASE_OGLYCAN42e","core","internal",0,1000
"AGALASE_OGLYCAN43e","core","internal",0,1000
"AGALASE_OGLYCAN44e","core","internal",0,1000
"AGALASE_OGLYCAN45e","core","internal",0,1000
"AGALASE_OGLYCAN46e","core","internal",0,1000
"AGALASE_OGLYCAN47e","core","internal",0,1000
"AGALASE_OGLYCAN48e","core","internal",0,1000
"AGALASE_OGLYCAN49e","core","internal",0,1000
"AGALASE_OGLYCAN4e","core","internal",0,1000
"AGALASE_OGLYCAN50e","core","internal",0,1000
"AGALASE_OGLYCAN51e","core","internal",0,1000
"AGALASE_OGLYCAN52e","core","internal",0,1000
"AGALASE_OGLYCAN53e","core","internal",0,1000
"AGALASE_OGLYCAN54e","core","internal",0,1000
"AGALASE_OGLYCAN55e","core","internal",0,1000
"AGALASE_OGLYCAN56e","core","internal",0,1000
"AGALASE_OGLYCAN57e","core","internal",0,1000
"AGALASE_OGLYCAN58e","core","internal",0,1000
"AGALASE_OGLYCAN59e","core","internal",0,1000
"AGALASE_OGLYCAN5e","core","internal",0,1000
"AGALASE_OGLYCAN60e","core","internal",0,1000
"AGALASE_OGLYCAN61e","core","internal",0,1000
"AGALASE_OGLYCAN62e","core","internal",0,1000
"AGALASE_OGLYCAN63e","core","internal",0,1000
"AGALASE_OGLYCAN64e","core","internal",0,1000
"AGALASE_OGLYCAN65e","core","internal",0,1000
"AGALASE_OGLYCAN66e","core","internal",0,1000
"AGALASE_OGLYCAN67e","core","internal",0,1000
"AGALASE_OGLYCAN68e","core","internal",0,1000
"AGALASE_OGLYCAN69e","core","internal",0,1000
"AGALASE_OGLYCAN6e","core","internal",0,1000
"AGALASE_OGLYCAN70e","core","internal",0,1000
"AGALASE_OGLYCAN71e","core","internal",0,1000
"AGALASE_OGLYCAN72e","core","internal",0,1000
"AGALASE_OGLYCAN73e","core","internal",0,1000
"AGALASE_OGLYCAN74e","core","internal",0,1000
"AGALASE_OGLYCAN75e","core","internal",0,1000
