reaction,lb,ub
BGALASE_OGLYCAN40e,0,1000
BGALASE_OGLYCAN41e,0,1000
BGALASE_OGLYCAN42e,0,1000
BGALASE_OGLYCAN43e,0,1000
BGALASE_OGLYCAN44e,0,1000
BGALASE_OGLYCAN45e,0,1000
BGALASE_OGLYCAN46e,0,1000
BGALASE_OGLYCAN47e,0,1000
BGALASE_OGLYCAN48e,0,1000
BGALASE_OGLYCAN49e,0,1000
BGALASE_OGLYCAN4e,0,1000
BGALASE_OGLYCAN50e,0,1000
BGALASE_OGLYCAN51e,0,1000
BGALASE_OGLYCAN52e,0,1000
BGALASE_OGLYCAN53e,0,1000
BGALASE_OGLYCAN54e,0,1000
BGALASE_OGLYCAN55e,0,1000
BGALASE_OGLYCAN56e,0,1000
BGALASE_OGLYCAN57e,0,1000
BGALASE_OGLYCAN58e,0,1000
BGALASE_OGLYCAN59e,0,1000
BGALASE_OGLYCAN5e,0,1000
BGALASE_OGLYCAN60e,0,1000
BGALASE_OGLYCAN61e,0,1000
BGALASE_OGLYCAN62e,0,1000
BGALASE_OGLYCAN63e,0,1000
BGALASE_OGLYCAN64e,0,1000
BGALASE_OGLYCAN65e,0,1000
BGALASE_OGLYCAN66e,0,1000
BGALASE_OGLYCAN67e,0,1000
BGALASE_OGLYCAN68e,0,1000
BGALASE_OGLYCAN69e,0,1000
BGALASE_OGLYCAN6e,0,1000
BGALASE_OGLYCAN70e,0,1000
BGALASE_OGLYCAN71e,0,1000
BGALASE_OGLYCAN72e,0,1000
BGALASE_OGLYCAN73e,0,1000
BGALASE_OGLYCAN74e,0,1000
BGALASE_OGLYCAN75e,0,1000
BGALASE_OGLYCAN76e,0,1000
BGALASE_OGLYCAN77e,0,1000
BGALASE_OGLYCAN78e,0,1000
BGALASE_OGLYCAN79e,0,1000
BGALASE_OGLYCAN7e,0,1000
BGALASE_OGLYCAN80e,0,1000
BGALASE_OGLYCAN81e,0,1000
BGALASE_OGLYCAN82e,0,1000
BGALASE_OGLYCAN83e,0,1000
BGALASE_OGLYCAN84e,0,1000
BGALASE_OGLYCAN85e,0,1000
BGALASE_OGLYCAN86e,0,1000
BGALASE_OGLYCAN87e,0,1000
BGALASE_OGLYCAN88e,0,1000
BGALASE_OGLYCAN89e,0,1000
BGALASE_OGLYCAN8e,0,1000
BGALASE_OGLYCAN90e,0,1000
BGALASE_OGLYCAN91e,0,1000
BGALASE_OGLYCAN92e,0,1000
BGALASE_OGLYCAN93e,0,1000
BGALASE_OGLYCAN94e,0,1000
BGALASE_OGLYCAN95e,0,1000
BGALASE_OGLYCAN96e,0,1000
BGALASE_OGLYCAN97e,0,1000
BGALASE_OGLYCAN98e,0,1000
BGALASE_OGLYCAN99e,0,1000
BGALASE_OGLYCAN9e,0,1000
BGLA,0,1000
BGLAr_f,0,1000
BGLAr_r,0,1000
BHEXNACASE_OGLYCAN10e,0,1000
BHEXNACASE_OGLYCAN11e,0,1000
BHEXNACASE_OGLYCAN12e,0,1000
BHEXNACASE_OGLYCAN13e,0,1000
BHEXNACASE_OGLYCAN14e,0,1000
BHEXNACASE_OGLYCAN15e,0,1000
BHEXNACASE_OGLYCAN16e,0,1000
BHEXNACASE_OGLYCAN17e,0,1000
BHEXNACASE_OGLYCAN18e,0,1000
BHEXNACASE_OGLYCAN19e,0,1000
BHEXNACASE_OGLYCAN1e,0,1000
BHEXNACASE_OGLYCAN20e,0,1000
BHEXNACASE_OGLYCAN21e,0,1000
BHEXNACASE_OGLYCAN22e,0,1000
BHEXNACASE_OGLYCAN23e,0,1000
BHEXNACASE_OGLYCAN24e,0,1000
BHEXNACASE_OGLYCAN25e,0,1000
BHEXNACASE_OGLYCAN26e,0,1000
BHEXNACASE_OGLYCAN27e,0,1000
BHEXNACASE_OGLYCAN28e,0,1000
BHEXNACASE_OGLYCAN29e,0,1000
BHEXNACASE_OGLYCAN2e,0,1000
BHEXNACASE_OGLYCAN30e,0,1000
BHEXNACASE_OGLYCAN31e,0,1000
BHEXNACASE_OGLYCAN32e,0,1000
BHEXNACASE_OGLYCAN33e,0,1000
BHEXNACASE_OGLYCAN34e,0,1000
BHEXNACASE_OGLYCAN35e,0,1000
BHEXNACASE_OGLYCAN36e,0,1000
BHEXNACASE_OGLYCAN37e,0,1000
BHEXNACASE_OGLYCAN38e,0,1000
BHEXNACASE_OGLYCAN39e,0,1000
BHEXNACASE_OGLYCAN3e,0,1000
BHEXNACASE_OGLYCAN40e,0,1000
BHEXNACASE_OGLYCAN41e,0,1000
BHEXNACASE_OGLYCAN42e,0,1000
BHEXNACASE_OGLYCAN43e,0,1000
BHEXNACASE_OGLYCAN44e,0,1000
BHEXNACASE_OGLYCAN45e,0,1000
BHEXNACASE_OGLYCAN46e,0,1000
BHEXNACASE_OGLYCAN47e,0,1000
BHEXNACASE_OGLYCAN48e,0,1000
BHEXNACASE_OGLYCAN49e,0,1000
BHEXNACASE_OGLYCAN4e,0,1000
BHEXNACASE_OGLYCAN50e,0,1000
BHEXNACASE_OGLYCAN51e,0,1000
BHEXNACASE_OGLYCAN52e,0,1000
BHEXNACASE_OGLYCAN53e,0,1000
BHEXNACASE_OGLYCAN54e,0,1000
BHEXNACASE_OGLYCAN55e,0,1000
BHEXNACASE_OGLYCAN56e,0,1000
BHEXNACASE_OGLYCAN57e,0,1000
BHEXNACASE_OGLYCAN58e,0,1000
BHEXNACASE_OGLYCAN59e,0,1000
BHEXNACASE_OGLYCAN5e,0,1000
BHEXNACASE_OGLYCAN60e,0,1000
BHEXNACASE_OGLYCAN61e,0,1000
BHEXNACASE_OGLYCAN62e,0,1000
BHEXNACASE_OGLYCAN63e,0,1000
BHEXNACASE_OGLYCAN64e,0,1000
BHEXNACASE_OGLYCAN65e,0,1000
BHEXNACASE_OGLYCAN66e,0,1000
BHEXNACASE_OGLYCAN67e,0,1000
BHEXNACASE_OGLYCAN68e,0,1000
BHEXNACASE_OGLYCAN69e,0,1000
BHEXNACASE_OGLYCAN6e,0,1000
BHEXNACASE_OGLYCAN70e,0,1000
BHEXNACASE_OGLYCAN71e,0,1000
BHEXNACASE_OGLYCAN72e,0,1000
BHEXNACASE_OGLYCAN73e,0,1000
BHEXNACASE_OGLYCAN74e,0,1000
BHEXNACASE_OGLYCAN75e,0,1000
BHEXNACASE_OGLYCAN76e,0,1000
BHEXNACASE_OGLYCAN77e,0,1000
BHEXNACASE_OGLYCAN78e,0,1000
BHEXNACASE_OGLYCAN79e,0,1000
BHEXNACASE_OGLYCAN7e,0,1000
BHEXNACASE_OGLYCAN80e,0,1000
BHEXNACASE_OGLYCAN81e,0,1000
BHEXNACASE_OGLYCAN82e,0,1000
BHEXNACASE_OGLYCAN83e,0,1000
BHEXNACASE_OGLYCAN84e,0,1000
BHEXNACASE_OGLYCAN85e,0,1000
BHEXNACASE_OGLYCAN86e,0,1000
BHEXNACASE_OGLYCAN87e,0,1000
BHEXNACASE_OGLYCAN88e,0,1000
BHEXNACASE_OGLYCAN89e,0,1000
BHEXNACASE_OGLYCAN8e,0,1000
BHEXNACASE_OGLYCAN90e,0,1000
BHEXNACASE_OGLYCAN91e,0,1000
BHEXNACASE_OGLYCAN92e,0,1000
