reaction,lb,ub
ASNt2r_f,0,1000
ASNt2r_r,0,1000
ASO3t_f,0,1000
ASO3t_r,0,1000
ASO4t_f,0,1000
ASO4t_r,0,1000
ASP1DC,0,1000
ASPCT,0,1000
ASPKi,0,1000
ASPO1,0,1000
ASPO2,0,1000
ASPO5,0,1000
ASPO6,0,1000
ASPO7,0,1000
ASPT,0,1000
ASPTA_f,0,1000
ASPTA_r,0,1000
ASPt2r_f,0,1000
ASPt2r_r,0,1000
ATPPRT,0,1000
ATPS4,0,1000
BACCLi,0,1000
BGLA1,0,1000
BHBtp_f,0,1000
BHBtp_r,0,1000
BHEXNACASE_OGLYCAN10e,0,1000
BHEXNACASE_OGLYCAN11e,0,1000
BHEXNACASE_OGLYCAN12e,0,1000
BHEXNACASE_OGLYCAN13e,0,1000
BHEXNACASE_OGLYCAN14e,0,1000
BHEXNACASE_OGLYCAN15e,0,1000
BHEXNACASE_OGLYCAN16e,0,1000
BHEXNACASE_OGLYCAN17e,0,1000
BHEXNACASE_OGLYCAN18e,0,1000
BHEXNACASE_OGLYCAN19e,0,1000
BHEXNACASE_OGLYCAN1e,0,1000
BHEXNACASE_OGLYCAN20e,0,1000
BHEXNACASE_OGLYCAN21e,0,1000
BHEXNACASE_OGLYCAN22e,0,1000
BHEXNACASE_OGLYCAN23e,0,1000
BHEXNACASE_OGLYCAN24e,0,1000
BHEXNACASE_OGLYCAN25e,0,1000
BHEXNACASE_OGLYCAN26e,0,1000
BHEXNACASE_OGLYCAN27e,0,1000
BHEXNACASE_OGLYCAN28e,0,1000
BHEXNACASE_OGLYCAN29e,0,1000
BHEXNACASE_OGLYCAN2e,0,1000
BHEXNACASE_OGLYCAN30e,0,1000
BHEXNACASE_OGLYCAN31e,0,1000
BHEXNACASE_OGLYCAN32e,0,1000
BHEXNACASE_OGLYCAN33e,0,1000
BHEXNACASE_OGLYCAN34e,0,1000
BHEXNACASE_OGLYCAN35e,0,1000
BHEXNACASE_OGLYCAN36e,0,1000
BHEXNACASE_OGLYCAN37e,0,1000
BHEXNACASE_OGLYCAN38e,0,1000
BHEXNACASE_OGLYCAN39e,0,1000
BHEXNACASE_OGLYCAN3e,0,1000
BHEXNACASE_OGLYCAN40e,0,1000
BHEXNACASE_OGLYCAN41e,0,1000
BHEXNACASE_OGLYCAN42e,0,1000
BHEXNACASE_OGLYCAN43e,0,1000
BHEXNACASE_OGLYCAN44e,0,1000
BHEXNACASE_OGLYCAN45e,0,1000
BHEXNACASE_OGLYCAN46e,0,1000
BHEXNACASE_OGLYCAN47e,0,1000
BHEXNACASE_OGLYCAN48e,0,1000
BHEXNACASE_OGLYCAN49e,0,1000
BHEXNACASE_OGLYCAN4e,0,1000
BHEXNACASE_OGLYCAN50e,0,1000
BHEXNACASE_OGLYCAN51e,0,1000
BHEXNACASE_OGLYCAN52e,0,1000
BHEXNACASE_OGLYCAN53e,0,1000
BHEXNACASE_OGLYCAN54e,0,1000
BHEXNACASE_OGLYCAN55e,0,1000
