reaction,lb,ub
AGALASE_OGLYCAN74e,0,1000
AGALASE_OGLYCAN75e,0,1000
AGALASE_OGLYCAN76e,0,1000
AGALASE_OGLYCAN77e,0,1000
AGALASE_OGLYCAN78e,0,1000
AGALASE_OGLYCAN79e,0,1000
AGALASE_OGLYCAN7e,0,1000
AGALASE_OGLYCAN8e,0,1000
AGALASE_OGLYCAN9e,0,1000
AGDC,0,1000
AGPAT120,0,1000
AGPAT140,0,1000
AGPAT141,0,1000
AGPAT160,0,1000
AGPAT161,0,1000
AGPAT180,0,1000
AGPAT181,0,1000
AGPR_f,0,1000
AGPR_r,0,1000
AHCYSNS_r_f,0,1000
AHCYSNS_r_r,0,1000
AHSERL2,0,1000
AHSERL3_f,0,1000
AHSERL3_r,0,1000
AICART_f,0,1000
AICART_r,0,1000
AIHPDCOATA_f,0,1000
AIHPDCOATA_r,0,1000
AIPDCOATA_f,0,1000
AIPDCOATA_r,0,1000
AIRC4,0,1000
AKGt2r_f,0,1000
AKGt2r_r,0,1000
AKP1,0,1000
ALAALA,0,1000
ALAASP1c_f,0,1000
ALAASP1c_r,0,1000
ALAASPabc,0,1000
ALAGLN1c_f,0,1000
ALAGLN1c_r,0,1000
ALAGLNabc,0,1000
ALAGLU1c_f,0,1000
ALAGLU1c_r,0,1000
ALAGLUabc,0,1000
ALAGLY1c_f,0,1000
ALAGLY1c_r,0,1000
ALAGLYabc,0,1000
ALAHIS1c_f,0,1000
ALAHIS1c_r,0,1000
ALAHISabc,0,1000
ALALEU1c_f,0,1000
ALALEU1c_r,0,1000
ALALEUabc,0,1000
ALAPGPL,0,1000
ALAR_f,0,1000
ALAR_r,0,1000
ALATA_L_f,0,1000
ALATA_L_r,0,1000
ALATHR1c_f,0,1000
ALATHR1c_r,0,1000
ALATHRabc,0,1000
ALAt2r_f,0,1000
ALAt2r_r,0,1000
ALCD19_f,0,1000
ALCD19_r,0,1000
ALCD2x_f,0,1000
ALCD2x_r,0,1000
ALDD2x,0,1000
ALLTNRS,0,1000
ALLTNS,0,1000
ALLTNt2r_f,0,1000
ALLTNt2r_r,0,1000
AMANAPEr_f,0,1000
AMANAPEr_r,0,1000
AMANK,0,1000
AMID,0,1000
AMID2,0,1000
AMID4,0,1000
AMID5,0,1000
AMMQT8r_f,0,1000
AMMQT8r_r,0,1000
AMOPBHL,0,1000
