"id","name","compartment","is_core","is_boundary","is_external_boundary","is_internal_boundary","primary_class","boundary_subtype"
"etha__c","Ethanolamine","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"3hcddec5eACP__c","(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein]","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"betald__c","Betaine aldehyde","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"udpglcur__p","UDP-D-glucuronate","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"2agpg140__p","2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"tddec2eACP__c","Trans-Dodec-2-enoyl-[acyl-carrier protein]","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"hdca__c","Hexadecanoate (n-C16:0)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"1agpe180__p","1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"fgam__c","N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"pe180__p","Phosphatidylethanolamine (dioctadecanoyl, n-C18:0)","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"1agpg141__p","1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"2agpe181__c","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"dd2coa__c","Trans-Dodec-2-enoyl-CoA","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"sufbcd__c","SufBCD scaffold complex","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"iasp__c","Iminoaspartate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"3hpp__e","3-Hydroxypropanoate","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"nadphx____R__c","(R)-NADPHX","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"opmeACP__c","3-Oxo-pimeloyl-[acyl-carrier protein] methyl ester","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"meoh__p","Methanol","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"bwco1gdp__c","Tungsten bispterin cofactor mono-guanine dinucleotide","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"cit__c","Citrate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"skm5p__c","Shikimate 5-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"oaa__c","Oxaloacetate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"td2coa__c","Trans-Tetradec-2-enoyl-CoA","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"acmet__c","N-Acetylmethionine","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"nadhx____S__c","Adenosine 5'-(3-{5-[(2S)-5-carbamoyl-2-hydroxy-3,4-dihydropyridin-1-yl]-5-deoxy-?-D-ribofuranosyl} dihydrogen diphosphate)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"tre6p__c","Alpha,alpha'-Trehalose 6-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"23dhmp__c","(R)-2,3-Dihydroxy-3-methylpentanoate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"tagur__c","D-Tagaturonate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"man6p__c","D-Mannose 6-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"acgam__e","N-Acetyl-D-glucosamine","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"hmbil__c","Hydroxymethylbilane","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"no3__e","Nitrate","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"fprica__c","5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"ara5p__c","D-Arabinose 5-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"pnto____R__e","(R)-Pantothenate","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"dtdprmn__c","DTDP-L-rhamnose","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"mana__c","D-Mannonate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"3dhguln__c","3-Dehydro-L-gulonate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"kdo__c","3-Deoxy-D-manno-2-octulosonate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"glcn__e","D-Gluconate","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"duri__e","Deoxyuridine","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"hqn__c","Hydroquinone","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"lipidA__c","2,3,2'3'-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"glucys__c","Gamma-L-Glutamyl-L-cysteine","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"2omph__c","2-Octaprenyl-6-methoxyphenol","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"sbt6p__c","D-Sorbitol 6-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"scl__c","Sirohydrochlorin","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"minohp__e","Myo-Inositol hexakisphosphate","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"pppg9__c","Protoporphyrinogen IX","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"csn__c","Cytosine","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"acnam__e","N-Acetylneuraminate","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"ac__p","Acetate","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"ap5a__c","P1,P5-Bis(5'-adenosyl) pentaphosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"malthx__p","Maltohexaose","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"cgly__e","Cys Gly C5H10N2O3S","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"inost__c","Myo-Inositol","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"seln__c","Selenide","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"gmhep1p__c","D-Glycero-D-manno-heptose 1-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"fecrm__un__p","Ferrichrome minus Fe(III)","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"apoACP__c","Apoprotein [acyl carrier protein]","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"o16a4colipa__p","(O16 antigen)x4 core oligosaccharide lipid A","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"ttdcea__c","Tetradecenoate (n-C14:1)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"ump__e","UMP C9H11N2O9P","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"ni2__e","Nickel","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"aso3__p","Arsenite","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"enter__p","Enterochelin","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"thrp__p","L-Threonine O-3-phosphate","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"cys____D__p","D-Cysteine","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"ch4__e","Methane","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"o2s__e","Superoxide anion","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"murein5px4px4p__p","Three disacharide linked murein units (pentapeptide crosslinked tetrapeptide (A2pm->D-ala) tetrapeptide corsslinked tetrapeptide (A2pm->D-ala)) (middle of chain)","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"ag__c","Silver","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"3cmp__p","3  CMP C9H12N3O8P","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"1ddecg3p__c","1-dodecanoyl-sn-glycerol 3-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"pg141__c","Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"crn____D__c","D-Carnitine","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"pa120__c","1,2-didodecanoyl-sn-glycerol 3-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"pe161__p","Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"gthox__p","Oxidized glutathione","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"udpgal__e","UDPgalactose","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"2agpe161__c","2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"pg180__p","Phosphatidylglycerol (dioctadecanoyl, n-C18:0)","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"udpacgal__p","UDP-N-acetyl-D-galactosamine","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"2odec11eg3p__p","2-octadec-11-enoyl-sn-glycerol 3-phosphate","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"12ppd____R__e","(R)-Propane-1,2-diol","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"forcoa__c","Formyl-CoA(4-)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"glyc2p__e","Glycerol 2-phosphate","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"moadcosh__c","MoaD Protein with thiocarboxylate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"1agpe140__p","1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"murein5p3p__p","Two linked disacharide pentapeptide and tripeptide murein units (uncrosslinked, middle of chain)","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"rephaccoa__c","Ring 1,2-epoxyphenylacetyl-CoA","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"ttrcyc__e","Tetracycline","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"pa180__c","1,2-dioctadecanoyl-sn-glycerol 3-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"his____L__c","L-Histidine","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"2fe2s__c","[2Fe-2S] iron-sulfur cluster","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"didp__c","DIDP; 2'-deoxyinosine-5'-diphosphate(3-)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"23doguln__p","2,3-Dioxo-L-gulonate","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"ribflv__c","Riboflavin C17H20N4O6","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"pg161__p","Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"lac____L__e","L-Lactate","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"so4__c","Sulfate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"6pgl__c","6-phospho-D-glucono-1,5-lactone","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"2agpg141__p","2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"ptrc__c","Putrescine","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"2dda7p__c","2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"itp__c","ITP C10H11N4O14P3","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"1hdec9eg3p__p","1-hexadec-9-enoyl-sn-glycerol 3-phosphate","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"2mcit__c","2-Methylcitrate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"sl2a6o__c","N-Succinyl-2-L-amino-6-oxoheptanedioate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"iscu__4fe4s__c","IscU with bound [4Fe-4S] cluster","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"cmp__c","CMP C9H12N3O8P","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"dtdpglu__c","DTDPglucose","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"cm__p","Chloramphenicol","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"g3pi__c","Sn-Glycero-3-phospho-1-inositol","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"gtp__c","GTP C10H12N5O14P3","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"cur__c","Curcumin","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"uacgam__c","UDP-N-acetyl-D-glucosamine","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"uaccg__c","UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"lipidAds__c","Lipid A Disaccharide","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"h2mb4p__c","1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"galct____D__p","D-Galactarate","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"glcur__p","D-Glucuronate","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"prcp__c","5-phospho-?-D-ribose 1,2-cyclic phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"maltpt__p","Maltopentaose","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"fc1p__c","L-Fuculose 1-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"btn__c","Biotin","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"so4__p","Sulfate","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"succ__c","Succinate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"feoxam__un__c","Ferroxamine minus Fe(3)","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"cbl1__e","Cob(I)alamin","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"gam6p__c","D-Glucosamine 6-phosphate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"xylu____L__c","L-Xylulose","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"mso3__c","Methanesulfonate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"aps__c","Adenosine 5'-phosphosulfate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"Sfglutth__c","S-Formylglutathione","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"xylu____L__e","L-Xylulose","e",TRUE,TRUE,TRUE,FALSE,"core_and_boundary","external_only"
"arg____L__p","L-Arginine","p",TRUE,FALSE,FALSE,FALSE,"core_only",NA
"thdp__c","2,3,4,5-Tetrahydrodipicolinate","c",TRUE,FALSE,FALSE,FALSE,"core_only",NA
